DateTime,Chla_ugL,Flag_Chla_ugL,PC_RFU,Flag_PC_RFU
2020-09-02 00:00,0.6275000000000001,A,,
2020-09-02 01:00,0.8525000000000001,A,,
2020-09-02 02:00,0.8525,A,,
2020-09-02 03:00,0.5575000000000001,A,,
2020-09-02 04:00,0.6525,A,,
2020-09-02 05:00,0.8275,A,,
2020-09-02 06:00,1.125,A,,
2020-09-02 07:00,1.1333333333333333,A,0.0,A
2020-09-02 08:00,1.1725,A,,
2020-09-02 09:00,1.2975,A,,
2020-09-02 10:00,1.2000000000000002,A,,
2020-09-02 11:00,0.9775,A,,
2020-09-02 12:00,0.805,A,,
2020-09-02 13:00,1.2225,A,,
2020-09-02 14:00,1.1775,A,,
2020-09-02 15:00,0.875,A,,
2020-09-02 16:00,0.7075,A,,
2020-09-02 17:00,0.8325,A,,
2020-09-02 18:00,1.5224999999999995,A,,
2020-09-02 19:00,0.7074999999999999,A,,
2020-09-02 20:00,0.6075,A,,
2020-09-02 21:00,0.8325,A,,
2020-09-02 22:00,0.98,A,,
2020-09-02 23:00,0.7575,A,,
2020-09-03 00:00,0.9575,A,,
2020-09-03 01:00,0.7325,A,,
2020-09-03 02:00,0.9775,A,,
2020-09-03 03:00,0.7825,A,,
2020-09-03 04:00,1.03,A,,
2020-09-03 05:00,0.76,A,,
2020-09-03 06:00,0.5625,A,,
2020-09-03 07:00,1.2025,A,,
2020-09-03 08:00,0.7849999999999999,A,,
2020-09-03 09:00,0.6375,A,,
2020-09-03 10:00,0.5900000000000001,A,,
2020-09-03 11:00,0.8125,A,,
2020-09-03 12:00,1.055,A,,
2020-09-03 13:00,0.985,A,,
2020-09-03 14:00,0.96,A,,
2020-09-03 15:00,0.985,A,,
2020-09-03 16:00,1.2799999999999998,A,,
2020-09-03 17:00,0.8375000000000001,A,,
2020-09-03 18:00,0.91,A,,
2020-09-03 19:00,1.06,A,,
2020-09-03 20:00,1.0575,A,,
2020-09-03 21:00,1.2325,A,,
2020-09-03 22:00,0.8625,A,,
2020-09-03 23:00,0.8625,A,,
2020-09-04 00:00,0.6900000000000001,A,,
2020-09-04 01:00,1.33,A,,
2020-09-04 02:00,1.11,A,,
2020-09-04 03:00,0.6925,A,,
2020-09-04 04:00,0.8399999999999999,A,,
2020-09-04 05:00,1.235,A,,
2020-09-04 06:00,0.9375,A,,
2020-09-04 07:00,1.3325,A,,
2020-09-04 08:00,0.9375,A,,
2020-09-04 09:00,1.1133333333333335,A,0.0,A
2020-09-04 10:00,1.5550000000000002,A,0.2,A
2020-09-04 11:00,1.6799999999999995,A,,
2020-09-04 12:00,1.0625,A,,
2020-09-04 13:00,1.2625,A,,
2020-09-04 14:00,1.04,A,,
2020-09-04 15:00,0.915,A,,
2020-09-04 16:00,1.1625,A,,
2020-09-04 17:00,1.0175,A,,
2020-09-04 18:00,1.215,A,,
2020-09-04 19:00,1.2875,A,,
2020-09-04 20:00,1.1375,A,,
2020-09-04 21:00,1.09,A,,
2020-09-04 22:00,1.05,A,0.0,A
2020-09-04 23:00,0.9675,A,,
2020-09-05 00:00,1.0675,A,,
2020-09-05 01:00,0.77,A,,
2020-09-05 02:00,1.1425,A,,
2020-09-05 03:00,1.29,A,,
2020-09-05 04:00,0.87,A,,
2020-09-05 05:00,0.895,A,,
2020-09-05 06:00,0.8866666666666667,A,0.3,A
2020-09-05 07:00,1.3875,A,,
2020-09-05 08:00,0.8425,A,,
2020-09-05 09:00,1.4375,A,,
2020-09-05 10:00,1.0925,A,,
2020-09-05 11:00,1.3625,A,,
2020-09-05 12:00,1.4125,A,,
2020-09-05 13:00,1.44,A,,
2020-09-05 14:00,1.635,A,,
2020-09-05 15:00,1.39,A,,
2020-09-05 16:00,1.5875,A,,
2020-09-05 17:00,1.5125000000000002,A,,
2020-09-05 18:00,1.6125,A,,
2020-09-05 19:00,1.4674999999999998,A,,
2020-09-05 20:00,1.6625,A,,
2020-09-05 21:00,1.0725,A,,
2020-09-05 22:00,1.22,A,,
2020-09-05 23:00,1.345,A,,
2020-09-06 00:00,1.2425,A,,
2020-09-06 01:00,1.12,A,0.3,A
2020-09-06 02:00,1.3175,A,,
2020-09-06 03:00,1.27,A,,
2020-09-06 04:00,1.5675,A,,
2020-09-06 05:00,1.5675,A,,
2020-09-06 06:00,1.37,A,,
2020-09-06 07:00,1.2950000000000002,A,,
2020-09-06 08:00,1.27,A,,
2020-09-06 09:00,1.765,A,,
2020-09-06 10:00,1.815,A,,
2020-09-06 11:00,1.8625,A,,
2020-09-06 12:00,1.915,A,,
2020-09-06 13:00,1.6675,A,,
2020-09-06 14:00,1.8175,A,,
2020-09-06 15:00,1.7175,A,,
2020-09-06 16:00,1.7833333333333334,A,0.2,A
2020-09-06 17:00,1.5533333333333337,A,0.2,A
2020-09-06 18:00,1.7675,A,,
2020-09-06 19:00,1.7675,A,,
2020-09-06 20:00,1.495,A,,
2020-09-06 21:00,1.3975,A,,
2020-09-06 22:00,1.395,A,,
2020-09-06 23:00,1.715,A,0.15,A
2020-09-07 00:00,1.62,A,,
2020-09-07 01:00,1.5533333333333337,A,0.2,A
2020-09-07 02:00,1.595,A,,
2020-09-07 03:00,1.325,A,,
2020-09-07 04:00,1.3725,A,,
2020-09-07 05:00,1.23,A,,
2020-09-07 06:00,1.4,A,,
2020-09-07 07:00,1.6975,A,,
2020-09-07 08:00,1.475,A,,
2020-09-07 09:00,1.4933333333333332,A,,
2020-09-07 10:00,1.3775,A,,
2020-09-07 11:00,1.23,A,,
2020-09-07 12:00,1.6225,A,,
2020-09-07 13:00,1.355,A,,
2020-09-07 14:00,1.4025,A,,
2020-09-07 15:00,1.0075,A,,
2020-09-07 16:00,1.055,A,,
2020-09-07 17:00,0.9325,A,,
2020-09-07 18:00,1.105,A,,
2020-09-07 19:00,1.1349999999999998,A,,
2020-09-07 20:00,1.0325,A,,
2020-09-07 21:00,0.8624999999999999,A,,
2020-09-07 22:00,0.79,A,,
2020-09-07 23:00,0.9375,A,,
2020-09-08 00:00,0.74,A,,
2020-09-08 01:00,0.9125,A,,
2020-09-08 02:00,0.9625,A,,
2020-09-08 03:00,0.79,A,,
2020-09-08 04:00,0.9733333333333332,A,0.1,A
2020-09-08 05:00,0.815,A,,
2020-09-08 06:00,0.9875,A,,
2020-09-08 07:00,0.9875,A,,
2020-09-08 08:00,0.94,A,,
2020-09-08 09:00,0.9066666666666666,A,0.1,A
2020-09-08 10:00,1.16,A,,
2020-09-08 11:00,1.0875,A,,
2020-09-08 12:00,0.865,A,,
2020-09-08 13:00,0.8150000000000001,A,,
2020-09-08 14:00,0.94,A,,
2020-09-08 15:00,0.7699999999999999,A,,
2020-09-08 16:00,0.9175,A,,
2020-09-08 17:00,0.7925,A,,
2020-09-08 18:00,0.72,A,,
2020-09-08 19:00,0.8925000000000001,A,,
2020-09-08 20:00,0.82,A,,
2020-09-08 21:00,0.6725000000000001,A,,
2020-09-08 22:00,0.895,A,,
2020-09-08 23:00,0.6724999999999999,A,,
2020-09-09 00:00,0.87,A,,
2020-09-09 01:00,0.8200000000000001,A,,
2020-09-09 02:00,0.6499999999999999,A,,
2020-09-09 03:00,0.9425,A,,
2020-09-09 04:00,1.0925,A,,
2020-09-09 05:00,1.19,A,,
2020-09-09 06:00,0.8925,A,,
2020-09-09 07:00,1.0425,A,,
2020-09-09 08:00,1.0425,A,,
2020-09-09 09:00,1.02,A,,
2020-09-09 10:00,1.2899999999999998,A,,
2020-09-09 11:00,1.2675,A,,
2020-09-09 12:00,1.1925,A,,
2020-09-09 13:00,0.945,A,,
2020-09-09 14:00,0.875,A,,
2020-09-09 15:00,0.9475,A,,
2020-09-09 16:00,0.8250000000000001,A,,
2020-09-09 17:00,1.0475,A,,
